1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
erin.kim@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,No,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
sara.sutton@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,computer vision-powered concept visualization system,Yes,Implement real-time learning gaps prediction in Business courses courses with Time-series analysis
adam35@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,2,None,AI teaching assistant that adapts to knowledge gaps,No,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
karen70@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,reinforcement learning-powered code debugging system,Yes,Create Engineering fundamentals-specific model using Bayesian networks that enables personalized learning paths
jacob.rivera@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,None,NLP-powered writing assistance system,Maybe,Develop Transformer models to predict knowledge retention in Mathematics for adaptive testing
jill.mcdonald@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,computer vision-powered concept visualization system,No,Student training program on model interpretation
ramirezc@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, IBM Watson, Turnitin","GitHub Copilot, IBM Watson, Turnitin",5,None,Automated clinical skills problem generator,No,Create Mathematics-specific model using Graph Neural Networks that enables early warning systems
cooperr@gmail.com,Postgraduate,Business,Somewhat familiar,Grammarly,Grammarly,3,None,computer vision-powered automated grading system,Maybe,Student training program on prompt engineering
harrisonj@gmail.com,Undergraduate,Engineering,Very familiar,"Microsoft Copilot, IBM Watson, GitHub Copilot","Microsoft Copilot, IBM Watson, GitHub Copilot",4,"Cost of implementation, Limited awareness of available AI tools",AI teaching assistant that visualizes cognitive load,Yes,Develop Bayesian networks to predict course difficulty in Business courses for early warning systems
changd@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,None,NLP-powered writing assistance system,Maybe,Develop Ensemble methods to predict skill mastery in Business courses for early warning systems
jones_a@gmail.com,Postgraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,Limited awareness of available AI tools,knowledge graphs-powered automated grading system,No,Create Mathematics-specific model using Graph Neural Networks that enables personalized learning paths
haley.lloyd@gmail.com,Postgraduate,Engineering,Very familiar,"ChatGPT, Microsoft Copilot, Grammarly, Turnitin","ChatGPT, Microsoft Copilot, Grammarly, Turnitin",5,None,AI teaching assistant that visualizes learning styles,No,Time-series analysis-based system for tutor matching focusing on knowledge retention in Engineering fundamentals
mitchell.barnett@gmail.com,Undergraduate,Engineering,Somewhat familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",3,None,AI teaching assistant that visualizes cognitive load,Yes,Create Programming-specific model using Random Forests that enables resource recommendation
angela20@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,Automated math problem generator,Yes,Implement real-time skill mastery prediction in Programming courses with Random Forests
holly31@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,None,NLP-powered code debugging system,Maybe,Develop Transformer models to predict engagement levels in Engineering fundamentals for tutor matching
harry57@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,"Lack of access to devices or internet, None",AI teaching assistant that visualizes knowledge gaps,No,Create Programming-specific model using Random Forests that enables early warning systems
ellen26@gmail.com,Postgraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,2,None,predictive analytics-powered code debugging system,No,Bayesian networks-based system for curriculum optimization focusing on skill mastery in Clinical skills
elizabeth76@gmail.com,Undergraduate,Business,Very familiar,"Grammarly, Microsoft Copilot","Grammarly, Microsoft Copilot",4,None,predictive analytics-powered automated grading system,Maybe,Develop Time-series analysis to predict learning gaps in Mathematics for adaptive testing
pearson_r@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts knowledge gaps,Yes,Develop Transformer models to predict dropout risk in Language learning for personalized learning paths
camposj@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,"Lack of access to devices or internet, Technical issues with tools/platforms",AI teaching assistant that visualizes knowledge gaps,Yes,Implement real-time skill mastery prediction in Business courses courses with Ensemble methods
gregory.fields@gmail.com,Other,Business,Somewhat familiar,IBM Watson,IBM Watson,2,None,NLP-powered automated grading system,No,Create Programming-specific model using Bayesian networks that enables tutor matching
daviss@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,"Limited awareness of available AI tools, Lack of training on how to use AI tools",Automated programming problem generator,Yes,Graph Neural Networks-based system for resource recommendation focusing on knowledge retention in Language learning
william35@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",3,None,AI teaching assistant that visualizes knowledge gaps,No,Create Business courses-specific model using Time-series analysis that enables curriculum optimization
monica.allison@gmail.com,Undergraduate,Engineering,Very familiar,"Grammarly, ChatGPT, GitHub Copilot","Grammarly, ChatGPT, GitHub Copilot",5,None,reinforcement learning-powered plagiarism detection system,Maybe,Random Forests-based system for adaptive testing focusing on learning gaps in Programming
andrew68@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,predictive analytics-powered code debugging system,No,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
justin96@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,NLP-powered writing assistance system,Maybe,Develop Random Forests to predict engagement levels in Clinical skills for resource recommendation
brittany31@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,computer vision-powered plagiarism detection system,Yes,LSTM networks-based system for adaptive testing focusing on dropout risk in Engineering fundamentals
andrew61@gmail.com,Undergraduate,Business,Very familiar,"Grammarly, ChatGPT, IBM Watson, Turnitin","Grammarly, ChatGPT, IBM Watson, Turnitin",4,None,Automated clinical skills problem generator,No,Create cloud-based AI lab environments
carmen.smith@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"Privacy concerns, None",predictive analytics-powered plagiarism detection system,Yes,Develop AI use policy addressing {issue}
john.mckee@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"None, Lack of access to devices or internet",AI teaching assistant that predicts cognitive load,No,Create student AI ambassador program
taylor76@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,"Technical issues with tools/platforms, Lack of access to devices or internet",AI teaching assistant that predicts knowledge gaps,Yes,Create Language learning-specific model using Bayesian networks that enables resource recommendation
erik.bernard@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Turnitin, ChatGPT","Turnitin, ChatGPT",2,"Integration with existing systems, None",predictive analytics-powered writing assistance system,Yes,Create Language learning-specific model using Ensemble methods that enables curriculum optimization
sierra.calderon@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",2,None,knowledge graphs-powered writing assistance system,Yes,Create Clinical skills-specific model using Ensemble methods that enables curriculum optimization
christopher.lopez@gmail.com,Postgraduate,Education,Very familiar,"IBM Watson, Microsoft Copilot, Turnitin, Grammarly","IBM Watson, Microsoft Copilot, Turnitin, Grammarly",3,None,computer vision-powered concept visualization system,No,Develop AI use policy addressing {issue}
johnsons@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,Yes,Create Business courses-specific model using Random Forests that enables tutor matching
martinezj@gmail.com,Undergraduate,Education,Very familiar,"ChatGPT, IBM Watson, Grammarly, Microsoft Copilot","ChatGPT, IBM Watson, Grammarly, Microsoft Copilot",4,None,AI teaching assistant that visualizes cognitive load,Maybe,Develop Random Forests to predict student performance in Clinical skills for personalized learning paths
michael62@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,Cost of implementation,computer vision-powered concept visualization system,Yes,Create Engineering fundamentals-specific model using Time-series analysis that enables tutor matching
susan53@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,Maybe,Create Language learning-specific model using Bayesian networks that enables resource recommendation
shannon.keith@gmail.com,Postgraduate,Engineering,Very familiar,"Microsoft Copilot, GitHub Copilot, Grammarly, Turnitin","Microsoft Copilot, GitHub Copilot, Grammarly, Turnitin",4,"Privacy concerns, Limited awareness of available AI tools",reinforcement learning-powered code debugging system,Maybe,Develop LSTM networks to predict knowledge retention in Mathematics for tutor matching
wolfej@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",3,None,NLP-powered writing assistance system,No,Create Language learning-specific model using Random Forests that enables resource recommendation
toddg@gmail.com,Other,Business,Very familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",5,Privacy concerns,AI teaching assistant that visualizes learning styles,Yes,Time-series analysis-based system for tutor matching focusing on course difficulty in Clinical skills
lynn_j@gmail.com,Other,Business,Not familiar at all,None,None,1,"None, Cost of implementation",AI teaching assistant that visualizes learning styles,Maybe,Develop Graph Neural Networks to predict dropout risk in Mathematics for personalized learning paths
jennifer78@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,Yes,Create Programming-specific model using LSTM networks that enables personalized learning paths
victor17@gmail.com,Undergraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,2,None,Real-time languages error detection,Yes,Create Business courses-specific model using Transformer models that enables adaptive testing
smith_t@gmail.com,Other,Business,Very familiar,"GitHub Copilot, Turnitin","GitHub Copilot, Turnitin",4,None,reinforcement learning-powered code debugging system,No,Implement real-time skill mastery prediction in Business courses courses with Ensemble methods
henrym@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Grammarly, Turnitin","Grammarly, Turnitin",2,"Cost of implementation, None",predictive analytics-powered code debugging system,No,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
brandon.torres@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,Automated languages problem generator,No,Create Clinical skills-specific model using Ensemble methods that enables curriculum optimization
stacey.warren@gmail.com,Other,Business,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Yes,Develop Graph Neural Networks to predict learning gaps in Programming for early warning systems
kingr@gmail.com,Undergraduate,Business,Very familiar,"Turnitin, ChatGPT, IBM Watson, Microsoft Copilot","Turnitin, ChatGPT, IBM Watson, Microsoft Copilot",5,None,reinforcement learning-powered concept visualization system,Maybe,Create Programming-specific model using Time-series analysis that enables personalized learning paths
joshua74@gmail.com,Other,Education,Somewhat familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",2,Privacy concerns,predictive analytics-powered code debugging system,Yes,Time-series analysis-based system for tutor matching focusing on student performance in Programming
petersons@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,"Lack of access to devices or internet, Technical issues with tools/platforms",AI teaching assistant that visualizes learning styles,No,Develop Time-series analysis to predict dropout risk in Mathematics for tutor matching
erin24@gmail.com,Other,Business,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,No,Implement real-time skill mastery prediction in Business courses courses with Graph Neural Networks
romerot@gmail.com,Undergraduate,Business,Very familiar,"Grammarly, GitHub Copilot","Grammarly, GitHub Copilot",3,"Lack of training on how to use AI tools, Cost of implementation",AI teaching assistant that predicts cognitive load,Maybe,Implement real-time learning gaps prediction in Engineering fundamentals courses with Bayesian networks
trevor.green@gmail.com,Undergraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,2,Technical issues with tools/platforms,Real-time math error detection,Yes,Create Business courses-specific model using Graph Neural Networks that enables adaptive testing
pattersons@gmail.com,Undergraduate,Education,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,Limited awareness of available AI tools,Personalized math learning coach,No,Transformer models-based system for tutor matching focusing on student performance in Mathematics
fox_d@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,computer vision-powered writing assistance system,Maybe,Random Forests-based system for early warning systems focusing on course difficulty in Programming
leek@gmail.com,Undergraduate,Business,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",3,"Lack of access to devices or internet, Privacy concerns",Personalized programming learning coach,Maybe,Create Clinical skills-specific model using Graph Neural Networks that enables resource recommendation
riley91@gmail.com,Postgraduate,Engineering,Very familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",5,None,AI teaching assistant that adapts to knowledge gaps,No,Implement real-time engagement levels prediction in Mathematics courses with Transformer models
deanna80@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,3,None,AI teaching assistant that adapts to cognitive load,No,Develop Transformer models to predict dropout risk in Language learning for resource recommendation
simpson_p@gmail.com,Other,Engineering,Very familiar,"GitHub Copilot, ChatGPT, Turnitin, Microsoft Copilot","GitHub Copilot, ChatGPT, Turnitin, Microsoft Copilot",4,None,Automated clinical skills problem generator,Yes,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
joshua84@gmail.com,Postgraduate,Engineering,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",2,None,NLP-powered plagiarism detection system,No,Create Clinical skills-specific model using Bayesian networks that enables tutor matching
hallj@gmail.com,Other,Engineering,Very familiar,"Turnitin, Microsoft Copilot, Grammarly","Turnitin, Microsoft Copilot, Grammarly",5,None,predictive analytics-powered writing assistance system,Yes,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
joe92@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",3,Limited awareness of available AI tools,reinforcement learning-powered concept visualization system,Maybe,Implement real-time course difficulty prediction in Clinical skills courses with Random Forests
kevin.allen@gmail.com,Other,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,"Lack of access to devices or internet, Integration with existing systems",AI teaching assistant that adapts to learning styles,Yes,Bayesian networks-based system for tutor matching focusing on learning gaps in Business courses
bakerm@gmail.com,Other,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered automated grading system,Maybe,Develop Ensemble methods to predict skill mastery in Engineering fundamentals for early warning systems
chelsea47@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,Yes,Create Programming-specific model using Bayesian networks that enables tutor matching
anderson_h@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,Real-time clinical skills error detection,Maybe,Implement real-time student performance prediction in Business courses courses with LSTM networks
melinda.dominguez@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Turnitin, Grammarly","Turnitin, Grammarly",2,None,knowledge graphs-powered code debugging system,Maybe,Implement real-time learning gaps prediction in Engineering fundamentals courses with LSTM networks
joseph56@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,Limited awareness of available AI tools,AI teaching assistant that visualizes cognitive load,Maybe,Random Forests-based system for tutor matching focusing on dropout risk in Clinical skills
mcmahonj@gmail.com,Other,Education,Not familiar at all,None,None,1,None,reinforcement learning-powered code debugging system,No,Create Mathematics-specific model using Bayesian networks that enables adaptive testing
johnson_l@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,"Lack of access to devices or internet, Privacy concerns",NLP-powered plagiarism detection system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for tutor matching
shannon.oneal@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Yes,Create Programming-specific model using Bayesian networks that enables tutor matching
james39@gmail.com,Undergraduate,Health Sciences,Very familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",4,Lack of access to devices or internet,predictive analytics-powered writing assistance system,Yes,Develop LSTM networks to predict learning gaps in Language learning for curriculum optimization
patricia.paul@gmail.com,Postgraduate,Engineering,Very familiar,"Grammarly, Turnitin","Grammarly, Turnitin",3,"Integration with existing systems, Lack of access to devices or internet",AI teaching assistant that predicts cognitive load,No,Develop LSTM networks to predict knowledge retention in Programming for adaptive testing
greenec@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,knowledge graphs-powered writing assistance system,Maybe,Graph Neural Networks-based system for adaptive testing focusing on engagement levels in Business courses
thomas_b@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that adapts to knowledge gaps,Maybe,Create Programming-specific model using Time-series analysis that enables personalized learning paths
lori39@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,Maybe,Implement real-time skill mastery prediction in Engineering fundamentals courses with LSTM networks
adam.morton@gmail.com,Postgraduate,Engineering,Very familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",5,"Lack of access to devices or internet, Cost of implementation",Real-time programming error detection,No,Transformer models-based system for tutor matching focusing on knowledge retention in Business courses
antonio.leon@gmail.com,Postgraduate,Business,Somewhat familiar,"Grammarly, Turnitin","Grammarly, Turnitin",2,None,Real-time math error detection,No,Develop LSTM networks to predict knowledge retention in Mathematics for tutor matching
angelica79@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Real-time programming error detection,Yes,Develop Transformer models to predict dropout risk in Language learning for personalized learning paths
coleman_s@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,Technical issues with tools/platforms,Real-time languages error detection,No,Create Clinical skills-specific model using Transformer models that enables adaptive testing
florest@gmail.com,Postgraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,Technical issues with tools/platforms,NLP-powered automated grading system,Maybe,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
morrison_r@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,Technical issues with tools/platforms,Personalized languages learning coach,No,Random Forests-based system for tutor matching focusing on dropout risk in Clinical skills
abigail.perez@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered automated grading system,No,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
salazar_t@gmail.com,Postgraduate,Health Sciences,Very familiar,"GitHub Copilot, ChatGPT, Grammarly, Turnitin","GitHub Copilot, ChatGPT, Grammarly, Turnitin",4,None,Personalized clinical skills learning coach,Maybe,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
alexa.hill@gmail.com,Undergraduate,Education,Very familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",5,Lack of access to devices or internet,AI teaching assistant that predicts knowledge gaps,Yes,Create Language learning-specific model using Graph Neural Networks that enables adaptive testing
mary21@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,None,reinforcement learning-powered writing assistance system,No,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
david81@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",3,None,knowledge graphs-powered writing assistance system,Maybe,Random Forests-based system for early warning systems focusing on course difficulty in Programming
gardner_j@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Technical issues with tools/platforms,AI teaching assistant that visualizes knowledge gaps,No,Develop Transformer models to predict dropout risk in Language learning for personalized learning paths
james.cooper@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",2,None,AI teaching assistant that predicts learning styles,Yes,Student training program on model interpretation
jo99@gmail.com,Postgraduate,Business,Very familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",5,None,Real-time math error detection,No,Transformer models-based system for tutor matching focusing on student performance in Mathematics
newman_a@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,AI teaching assistant that visualizes learning styles,Yes,Graph Neural Networks-based system for resource recommendation focusing on knowledge retention in Language learning
crawford_b@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,Privacy concerns,Automated clinical skills problem generator,Yes,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
halla@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,Limited awareness of available AI tools,predictive analytics-powered plagiarism detection system,Maybe,Create Business courses-specific model using Time-series analysis that enables personalized learning paths
hensley_d@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,Technical issues with tools/platforms,knowledge graphs-powered concept visualization system,No,Develop Ensemble methods to predict course difficulty in Clinical skills for curriculum optimization
donald97@gmail.com,Undergraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,3,Limited awareness of available AI tools,NLP-powered concept visualization system,No,Implement real-time dropout risk prediction in Engineering fundamentals courses with Transformer models
arnold_v@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, Grammarly","Turnitin, Grammarly",3,None,knowledge graphs-powered writing assistance system,Maybe,Time-series analysis-based system for tutor matching focusing on student performance in Programming
travis57@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,ChatGPT,ChatGPT,2,None,reinforcement learning-powered writing assistance system,No,Develop Time-series analysis to predict dropout risk in Mathematics for tutor matching
vaughn_j@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered plagiarism detection system,Yes,Upgrade campus Wi-Fi to support AI tools
steven90@gmail.com,Postgraduate,Business,Very familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",5,None,knowledge graphs-powered code debugging system,No,Implement real-time course difficulty prediction in Programming courses with LSTM networks
john90@gmail.com,Postgraduate,Business,Somewhat familiar,"Turnitin, ChatGPT","Turnitin, ChatGPT",3,Cost of implementation,Real-time clinical skills error detection,Maybe,Develop Graph Neural Networks to predict student performance in Language learning for adaptive testing
aaron93@gmail.com,Postgraduate,Business,Very familiar,"Microsoft Copilot, ChatGPT, IBM Watson, Turnitin","Microsoft Copilot, ChatGPT, IBM Watson, Turnitin",4,None,AI teaching assistant that predicts learning styles,Yes,LSTM networks-based system for early warning systems focusing on engagement levels in Language learning
emma91@gmail.com,Other,Health Sciences,Not familiar at all,None,None,1,None,computer vision-powered plagiarism detection system,Yes,Time-series analysis-based system for adaptive testing focusing on skill mastery in Programming
dukeo@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",3,Cost of implementation,Personalized languages learning coach,Yes,Implement real-time course difficulty prediction in Mathematics courses with Graph Neural Networks
hall_a@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,Personalized programming learning coach,Yes,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
richardsn@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,AI teaching assistant that predicts knowledge gaps,No,Create Programming-specific model using Random Forests that enables early warning systems
mclaughlin_a@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,Personalized languages learning coach,Yes,Implement real-time skill mastery prediction in Clinical skills courses with Ensemble methods
dawn94@gmail.com,Postgraduate,Health Sciences,Very familiar,"Microsoft Copilot, Grammarly, GitHub Copilot, Turnitin","Microsoft Copilot, Grammarly, GitHub Copilot, Turnitin",4,"Cost of implementation, Lack of training on how to use AI tools",computer vision-powered writing assistance system,No,Implement real-time engagement levels prediction in Language learning courses with Graph Neural Networks
michelle39@gmail.com,Postgraduate,Business,Somewhat familiar,Turnitin,Turnitin,3,None,Real-time programming error detection,Yes,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
lawsonj@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,"Lack of access to devices or internet, Lack of access to devices or internet",reinforcement learning-powered writing assistance system,No,Random Forests-based system for early warning systems focusing on engagement levels in Engineering fundamentals
angela62@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,None,AI teaching assistant that predicts learning styles,Yes,Create student AI ambassador program
mark88@gmail.com,Postgraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,None,Automated programming problem generator,Maybe,Implement real-time skill mastery prediction in Business courses courses with LSTM networks
joseph89@gmail.com,Postgraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,None,reinforcement learning-powered concept visualization system,Yes,Bayesian networks-based system for personalized learning paths focusing on skill mastery in Mathematics
jackson_j@gmail.com,Postgraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,Cost of implementation,NLP-powered automated grading system,No,Ensemble methods-based system for resource recommendation focusing on engagement levels in Clinical skills
christina69@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Personalized programming learning coach,Yes,Develop Random Forests to predict engagement levels in Mathematics for personalized learning paths
john.turner@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Yes,Implement real-time knowledge retention prediction in Language learning courses with Transformer models
ward_g@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,NLP-powered automated grading system,No,Create Language learning-specific model using Graph Neural Networks that enables adaptive testing
elliott_s@gmail.com,Other,Education,Not familiar at all,None,None,1,None,AI teaching assistant that predicts learning styles,No,Create Language learning-specific model using Bayesian networks that enables personalized learning paths
taylor_k@gmail.com,Undergraduate,Engineering,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",3,"Limited awareness of available AI tools, Integration with existing systems",predictive analytics-powered writing assistance system,Yes,Develop Graph Neural Networks to predict learning gaps in Programming for early warning systems
sloanc@gmail.com,Other,Engineering,Somewhat familiar,Grammarly,Grammarly,2,"Limited awareness of available AI tools, Technical issues with tools/platforms",computer vision-powered automated grading system,No,Develop Random Forests to predict engagement levels in Clinical skills for resource recommendation
katelyn.saunders@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",3,None,reinforcement learning-powered code debugging system,No,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
anthony.gill@gmail.com,Postgraduate,Health Sciences,Very familiar,"IBM Watson, Microsoft Copilot, Grammarly, Turnitin","IBM Watson, Microsoft Copilot, Grammarly, Turnitin",4,None,computer vision-powered writing assistance system,No,Develop Ensemble methods to predict skill mastery in Engineering fundamentals for early warning systems
arellanom@gmail.com,Other,Engineering,Not familiar at all,None,None,1,Lack of training on how to use AI tools,reinforcement learning-powered plagiarism detection system,Maybe,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
smith_a@gmail.com,Postgraduate,Business,Somewhat familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",2,None,knowledge graphs-powered plagiarism detection system,Maybe,Implement real-time engagement levels prediction in Mathematics courses with Transformer models
cardenas_a@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,Cost of implementation,AI teaching assistant that predicts knowledge gaps,No,LSTM networks-based system for adaptive testing focusing on course difficulty in Business courses
selena.ramirez@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,predictive analytics-powered plagiarism detection system,Yes,Faculty training program on AI ethics
jamesl@gmail.com,Postgraduate,Education,Very familiar,"Turnitin, Grammarly","Turnitin, Grammarly",4,None,predictive analytics-powered concept visualization system,Yes,Develop Time-series analysis to predict knowledge retention in Mathematics for resource recommendation
amy72@gmail.com,Undergraduate,Business,Very familiar,"Turnitin, ChatGPT, IBM Watson","Turnitin, ChatGPT, IBM Watson",5,"Lack of training on how to use AI tools, Lack of training on how to use AI tools",knowledge graphs-powered plagiarism detection system,Yes,Create student AI ambassador program
